title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
M104 - 漂亮的露肩上衣，饰有金色装饰。面料非常柔软。,棕色,17,https://cf.shopee.co.th/file/th-11134207-81ztn-mfjoc5z6rdov4f,http://shopee.co.th/product/4779514/24047348752,Women Clothes,Tops,IVCN202606090766,109577169793 ,https://detail.1688.com/offer/1016227565599.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24047348752,,,2,Tanks & Camisoles
M104 - 漂亮的露肩上衣，饰有金色装饰。面料非常柔软。,白色的,17,https://cf.shopee.co.th/file/th-11134207-81zte-mfjoc1p4n1mx45,http://shopee.co.th/product/4779514/24047348752,Women Clothes,Tops,IVCN202606090766,109577169792 ,https://detail.1688.com/offer/1016227565599.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24047348752,,,2,Tanks & Camisoles
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/棕色/黑色，S,32.13,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asypqrpc8,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,248192819632 ,https://detail.1688.com/offer/923802656474.html?spm=a26352.b28411319.offerlist.6.407a1e62QcA7aC,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/灰色/黑色，S,28.39,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyoc79d0,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,248192819633 ,https://detail.1688.com/offer/923802656474.html?spm=a26352.b28411319.offerlist.6.407a1e62QcA7aC,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,灰/棕/黑，M,29.62,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyr5c564,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448933 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,灰/棕/黑，XL,29.65,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyr5c564,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448935 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/棕色/黑色，M,31,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asypqrpc8,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448936 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/棕色/黑色，L,30.66,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asypqrpc8,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448937 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/棕色/黑色，XL,29.56,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asypqrpc8,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448938 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/灰色/黑色，M,31,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyoc79d0,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448939 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/灰色/黑色，L,30.26,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyoc79d0,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448940 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/灰色/黑色，XL,30.65,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyoc79d0,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,425712444321 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,灰/棕/白，S,30.69,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asymxmt00,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,243212716677 ,https://detail.1688.com/offer/923802656474.html?spm=a26352.b28411319.offerlist.6.407a1e62QcA7aC,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/棕色/黑色，S,32.13,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asypqrpc8,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,248192819632 ,https://detail.1688.com/offer/923802656474.html?spm=a26352.b28411319.offerlist.6.407a1e62QcA7aC,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,白色/灰色/黑色，S,28.39,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyoc79d0,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,248192819633 ,https://detail.1688.com/offer/923802656474.html?spm=a26352.b28411319.offerlist.6.407a1e62QcA7aC,,2026/6/9,24344093727,,,14,Bodysuits
女士长袖冬季连体衣三件套，带衬里，休闲款，氨纶材质,灰/棕/黑，L,29.63,https://cf.shopee.com.br/file/br-11134207-7r98o-mc2i7asyr5c564,http://shopee.com.br/product/959459848/24344093727,Women Clothes,Tops,IVCN202606091570,355712448934 ,https://detail.1688.com/offer/872853558928.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/6/9,24344093727,,,14,Bodysuits
Aucity Studio AMBER 上衣 - 修身露脐船领上衣,白色，S,6.5,https://cf.shopee.vn/file/vn-11134207-7ras8-mbrw3ueycodu1f,http://shopee.vn/product/425588274/25934697496,Women Clothes,Tops,IVCN202606090770,251370835320 ,https://detail.1688.com/offer/696959703106.html?spm=a26352.b28411319.offerlist.23.f4b81e62wVTnH1,,2026/6/9,25934697496,,,3,T-shirts
